epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,4920.66,0.77692,0.51425,1.00017,0.90503,0.82442,0.87705,0.64389,1.04385,0.88105,1.13473,0.0001156,0.0001156,0.0001156
136,4955.67,0.77726,0.52169,0.99869,0.90764,0.82224,0.87768,0.64155,1.05171,0.88972,1.14427,0.000109,0.000109,0.000109
137,4990.34,0.76391,0.50556,0.98794,0.89263,0.83709,0.88026,0.64343,1.04764,0.8751,1.14002,0.0001024,0.0001024,0.0001024
138,5026.53,0.77701,0.51658,0.99543,0.89362,0.84024,0.87711,0.64213,1.03785,0.87772,1.1291,9.58e-05,9.58e-05,9.58e-05
139,5061.61,0.7633,0.50663,0.99141,0.89456,0.84057,0.87871,0.64484,1.03672,0.88046,1.12676,8.92e-05,8.92e-05,8.92e-05
140,5096.88,0.76266,0.49387,0.98788,0.90402,0.8389,0.88347,0.6485,1.03923,0.87705,1.12918,8.26e-05,8.26e-05,8.26e-05
141,5133.84,0.76212,0.51111,0.99121,0.91316,0.82423,0.88405,0.6464,1.04503,0.86582,1.1337,7.6e-05,7.6e-05,7.6e-05
142,5170.58,0.76152,0.50211,0.99329,0.90867,0.83155,0.88244,0.64971,1.03175,0.87246,1.11859,6.94e-05,6.94e-05,6.94e-05
143,5206.08,0.75123,0.49693,0.98919,0.91281,0.82629,0.88139,0.64709,1.0369,0.88903,1.12855,6.28e-05,6.28e-05,6.28e-05
144,5241.88,0.74659,0.48833,0.98141,0.90754,0.8231,0.87927,0.64287,1.0383,0.89781,1.13231,5.62e-05,5.62e-05,5.62e-05
145,5277.38,0.75299,0.50279,0.98939,0.91961,0.82455,0.88293,0.64438,1.03796,0.88069,1.12905,4.96e-05,4.96e-05,4.96e-05
146,5312.22,0.75677,0.49025,0.99062,0.9239,0.82361,0.8849,0.64741,1.03212,0.87436,1.12367,4.3e-05,4.3e-05,4.3e-05
147,5347.68,0.74777,0.49544,0.98784,0.91907,0.81911,0.885,0.64541,1.03736,0.87749,1.13148,3.64e-05,3.64e-05,3.64e-05
148,5382.58,0.74706,0.49378,0.98849,0.92362,0.82511,0.88406,0.64493,1.04287,0.87857,1.13694,2.98e-05,2.98e-05,2.98e-05
149,5417.81,0.74531,0.4996,0.98374,0.92171,0.82458,0.8844,0.64642,1.04458,0.87522,1.14022,2.32e-05,2.32e-05,2.32e-05
150,5453.72,0.73386,0.48784,0.97901,0.91855,0.82957,0.88553,0.64752,1.04167,0.87413,1.13752,1.66e-05,1.66e-05,1.66e-05
